Prvcnm,AQI,CO,NO2,O3,PM10,PM2.5,SO2
杭州滨江,59.04545455,0.977181818,46.45454545,24.68181818,48.86363636,42.04545455,6.954545455
杭州西溪,57.09090909,0.854136364,44,31.54545455,52.22727273,40.86363636,3.954545455
杭州千岛湖,26.36363636,0.561590909,7.727272727,57.09090909,11.90909091,16.77272727,3.863636364
杭州下沙,65.54545455,0.682909091,45.54545455,50.86363636,53.04545455,47.22727273,12.5
杭州卧龙桥,59.36363636,0.854590909,28.31818182,21.18181818,57.45454545,42.09090909,3.909090909
杭州浙江农大,61.36363636,1.161772727,54.36363636,35.77272727,62.72727273,44,18.54545455
杭州朝晖五区,63.77272727,0.9165,56.5,24.81818182,40.63636364,45.77272727,4.818181818
杭州和睦小学,63.81818182,0.899818182,44.59090909,62.77272727,61.04545455,46.13636364,13.31818182
杭州临平镇,89.68181818,0.950954545,30.13636364,50.63636364,39.54545455,66.09090909,10.27272727
杭州城厢镇,68,1.123727273,50.45454545,20.86363636,50.86363636,48.36363636,6.227272727
杭州云栖,46,0.831272727,30.81818182,12.40909091,47.22727273,31.13636364,5.409090909
宁波区环保大楼,73.54545455,0.745272727,51.95454545,36.90909091,84.09090909,47.27272727,16.72727273
宁波万里学院,57.09090909,0.784227273,32.22727273,45.77272727,53.27272727,40.81818182,16.90909091
宁波龙赛医院,68.36363636,0.999727273,44.31818182,39.09090909,61.59090909,49.77272727,16
宁波三江中学,64.22727273,1.008272727,35.22727273,46.27272727,69.09090909,45.5,15.18181818
宁波市政管理站,61.18181818,0.959727273,30.59090909,46.31818182,63.77272727,42,6.863636364
宁波钱湖水厂,61.63636364,0.716954545,28.77272727,46.68181818,55.22727273,44.36363636,8.909090909
宁波太古小学,64.04545455,0.896818182,34.81818182,43.18181818,57.45454545,46.22727273,10
宁波市环境监测中心,67,0.953090909,39,34.81818182,58.45454545,48.18181818,5.772727273
温州瓯海,70.09090909,1.184772727,52,50.54545455,85.45454545,48.04545455,21.36363636
温州南浦,81.72727273,1.466,52.31818182,52.95454545,93.09090909,58.36363636,20.31818182
温州龙湾,75.18181818,1.061818182,41.77272727,55.68181818,94.81818182,52.31818182,24.95454545
温州市站,72.27272727,0.636954545,47,49.27272727,90.13636364,49.31818182,18.54545455
绍兴袍江站,81.36363636,0.704772727,51,41.09090909,77.81818182,59.86363636,50.59090909
绍兴城东开发委,79.31818182,0.536,43.13636364,25.86363636,58.54545455,58.22727273,20.59090909
绍兴市环保站,85.59090909,0.410954545,55.81818182,31.54545455,77.45454545,63.36363636,12.36363636
湖州城北水厂,62.63636364,0.967454545,39.63636364,41.5,67.63636364,41.81818182,8.409090909
湖州城西水厂,67.40909091,0.698863636,37.63636364,47,46.72727273,48.63636364,10
湖州吉山新村,60.54545455,1.069409091,39.22727273,45.40909091,54.90909091,42.54545455,8.454545455
嘉兴清河小学,67.31818182,0.932909091,36.54545455,35.40909091,69.45454545,47.22727273,23.04545455
嘉兴嘉兴学院,81.36363636,0.769772727,37.18181818,36.59090909,71.13636364,59.72727273,10.90909091
嘉兴监测站,75.77272727,0.652363636,41.18181818,38.72727273,70.36363636,55.18181818,20.04545455
台州黄岩环保大楼,63.90909091,0.814681818,28.54545455,37.59090909,72.36363636,39.86363636,4.954545455
台州台州环保大楼,71.95454545,0.6525,20.31818182,30.5,88.95454545,48.36363636,6.090909091
台州路桥田洋王,66.36363636,0.848454545,29.09090909,46.13636364,68.18181818,48.09090909,6.272727273
舟山定海檀枫,45.09090909,0.606681818,24.68181818,53.90909091,39.09090909,26.90909091,4.363636364
舟山普陀东港,47.31818182,0.551636364,14.95454545,58.86363636,35.81818182,29.63636364,6.5
舟山临城新区,46.13636364,0.574727273,15.31818182,57.59090909,43.45454545,28.09090909,2.545454545
金华四中,56.40909091,0.798090909,32.36363636,49.54545455,41.86363636,39.54545455,22.04545455
金华十五中,47.27272727,0.925318182,16.09090909,18.95454545,45.40909091,29.86363636,5.590909091
金华监测站,43.22727273,0.611409091,19.81818182,33.09090909,43.81818182,30.40909091,11.63636364
衢州环保大楼,29.36363636,0.914590909,26.77272727,66.09090909,18.04545455,14,11.22727273
衢州实验学校,31.95454545,0.612454545,11.95454545,65.22727273,29.95454545,10.90909091,3.954545455
衢州衢州学院,30.95454545,0.923,22.36363636,60.68181818,12.63636364,19.36363636,6.681818182
丽水监测站大楼,39.68181818,0.537545455,24.45454545,63.18181818,31.18181818,19.63636364,7.363636364
丽水莲都小学,82.68181818,0.8295,16.13636364,57.45454545,7.409090909,55.77272727,1.181818182
丽水余庄前,45,0.664863636,19.95454545,89.45454545,29.63636364,19.40909091,10.81818182
临安市政府,75.18181818,1.010181818,26.09090909,95.68181818,99.86363636,39.72727273,6.454545455
临安四中,75.36363636,1.288545455,41.68181818,93.45454545,100.3636364,34.36363636,6.5
富阳监测站,113.9090909,1.204727273,43.09090909,44.22727273,65.27272727,88.22727273,12.40909091
富阳富春二小,76.45454545,1.014227273,36.5,34.77272727,64.22727273,55.81818182,12.04545455
义乌江东,62.95454545,1.208681818,40.81818182,31.5,63,45.77272727,14.22727273
义乌北苑,78.72727273,1.388272727,48,29,77.59090909,57.22727273,6.227272727
