Prvcnm,第一产业,第二产业,第三产业,工业,建筑业,交通运输仓储邮政业,批发零售业,住宿餐饮业,金融业,房地产业,其他服务业
北京,161.83,4352.3,3536.89,815.41,14986.43,883.58,2372.43,374.75,2822.07,1339.52,7194.08
天津,188.45,7276.68,6678.6,598.08,6905.03,725.05,1902.52,241.34,1202.04,519.37,2314.71
河北,3500.42,14762.1,13194.76,1567.34,10038.89,2377.59,2163.95,415.18,1033.55,1041.28,3007.34
山西,773.81,6792.68,6032.99,759.69,5035.75,891.66,1079.48,324.59,736.27,329.8,1673.95
内蒙古,1599.41,9084.19,7944.4,1139.79,6148.78,1303.73,1547.04,11494.0506,563,414.59,1851.57
辽宁,2321.63,14269.46,12510.27,1759.19,10486.56,1384.09,2414.31,468.85,1136.1,1134.49,3875.67
吉林,1509.34,6858.23,6033.35,824.88,4613.89,486.18,1080.58,541.9,303.02,266.6,2209.88
黑龙江,2516.79,5918.22,5090.34,827.88,5947.92,616.03,1458.12,267.63,551.16,553.11,2365.61
上海,129.28,8027.77,7236.69,791.08,13445.07,935.06,3533.1,403.89,2823.29,1343.77,4495.51
江苏,3646.08,29094.03,25612.24,3481.79,26421.64,2530.02,6273.46,314.34,3703.69,3436.65,9335.03
浙江,1784.62,18446.65,16368.43,2078.22,17337.22,1326.02,4111.44,1142.79,2965.67,2190.03,6007.72
安徽,2348.09,10403.96,8928.02,1475.94,6286.82,707.1,1355.54,736.34,735.44,763.56,2427.15
福建,1936.31,11315.3,9455.32,1859.98,8508.03,1176.19,1789.88,298.03,1174.59,1216.76,2797.38
江西,1636.49,7671.38,6434.41,1236.97,5030.63,678.62,1035.04,353.23,494.78,500.57,1981.91
山东,4742.63,27422.47,24222.16,3200.31,22519.23,2746.11,7523.79,339.71,2265.5,2237.46,6559.11
河南,4058.98,17806.39,15960.6,1845.79,10290.49,1309.3,2072.59,1187.26,1181.77,1165.07,3563.29
湖北,3098.16,12171.56,10531.37,1640.19,9398.77,1078.11,1903.62,998.47,1073.89,797.19,3966.23
湖南,3099.23,11517.35,10001,1516.35,9885.09,1174.29,2045.65,579.73,706.92,636.26,4818.32
广东,3047.51,29427.49,27426.26,2001.23,29688.97,2604.41,7039.2,503.65,3817.42,4207.46,10628.64
广西,2343.57,6863.04,5749.65,1113.39,5171.39,677.77,1083.06,1391.84,706.91,520.51,1783.62
海南,756.47,871.29,551.11,320.18,1518.7,140.96,344.49,399.52,151.64,288.54,482.74
重庆,1016.74,6397.92,5249.65,1148.27,5242.03,580.93,984.4,0,1068.35,728.83,1649.73
四川,3425.61,13579.03,11578.55,2000.48,9256.13,751.55,1472.59,98.96,1581.47,762.77,4001.91
贵州,1029.05,3243.7,2686.52,557.18,3734.04,775.09,582.05,685.84,433.53,202.94,1445.57
云南,1895.34,4927.82,3767.58,1160.24,4897.75,273.51,1162.17,294.86,693.93,262.84,2132.06
西藏,86.82,292.92,61.16,231.76,427.93,28.8,51.24,373.24,43.05,22.74,256.39
陕西,1526.05,8911.64,7507.34,1404.3,5607.52,657.31,1293.77,0,674.88,507.72,2134.33
甘肃,879.37,2821.04,2225.22,595.82,2567.6,347.18,440.31,339.51,234.18,158.4,1227.89
青海,207.59,1204.31,970.53,233.78,689.15,74.23,126.27,159.64,94.37,34.21,336.6
宁夏,222.98,1264.96,944.5,320.46,1077.12,201.71,133.44,23.47,199.81,101.84,394.25
新疆,1468.29,3765.97,3024.27,741.7,3125.98,422.37,480.94,46.07,420.27,232.44,1449.02
